Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.4445201836256317,-0.379643086050853,2.286114445967671,2.302261117445187,3.1609703923619943,3.2419941614142864
-0.4798304777644067,-0.4222275159369498,2.3028019901271284,2.311884682966575,3.111286049925374,3.1779717045922817
-0.5135348170245293,-0.46323048770747466,2.3144866028882665,2.31448926270538,3.06490642618639,3.115208095686331
-0.545386385995422,-0.5023947971607728,2.3099459884593356,2.3208746660656345,3.0224405158467698,3.0545034270751197
-0.5751744527379635,-0.5394956261269425,2.2985032852847036,2.3217627835627757,2.9842104563850347,2.996629784717986
-0.6027198445356003,-0.5743348386616893,2.2807882155478274,2.3170934040770743,2.942290202611264,2.950210385266602
-0.6278706613734393,-0.6067358584747865,2.2577784284071196,2.30698443042198,2.892063275124361,2.920134474240568
-0.650498263934944,-0.6365391498048397,2.2306922144318877,2.2917788833741435,2.846343338147028,2.893470892959181
-0.6704935664382943,-0.6635983351632311,2.2008504211495756,2.27207559089568,2.8052967568415275,2.8696266953125686
-0.6877770027966393,-0.6877636741850037,2.1695508134493573,2.248720620518961,2.768857408941336,2.848040544622574
-0.7089462781082535,-0.7022289257331037,2.137981433535885,2.222749926540106,2.736771067570789,2.828256912950161
-0.7269832517253904,-0.713820425328054,2.107176644782738,2.1952970776231946,2.708675026507285,2.809958285745078
-0.741770368137491,-0.7224781777241434,2.0780056198981547,2.1674953860545307,2.6841838872287704,2.7929658437984948
-0.7531958789600237,-0.7281499593326649,2.0511800067644406,2.140400479792375,2.662955732807978,2.7772221254632714
-0.7611554504719095,-0.7307910706359383,2.027270369453954,2.1149441045241306,2.64472818064531,2.7627662955514585
-0.7655549834775234,-0.7303651086769737,2.006725105334668,2.0919160476404137,2.6293276953108196,2.749708512417114
-0.7663146533347956,-0.7268458694533609,1.9898887592763217,2.0719650059877597,2.616661582013167,2.738206612606041
-0.7633741093741743,-0.720220434234469,1.9770186195933694,2.055609509112941,2.6067017318039842,2.7284462964632614
-0.7566986879881005,-0.7104934101351177,1.9682994751260878,2.0432528321762913,2.599466277820286,2.720624912723472
-0.7462863963539307,-0.697692186523307,1.9638568071589249,2.0351986238001625,2.595002414513497,2.7149384409853576
-0.7321753196921983,-0.6818729420760414,1.963768752584787,2.031665844142461,2.5933716257434867,2.711571094917318
-0.7144510011625471,-0.6631270035855328,1.968077066760288,2.032802573953583,2.594637457488154,2.7106869622584653
-0.6932532481702196,-0.6415870311870361,1.9767971246688592,2.038698600738646,2.5988554866472744,2.712423179700244
-0.6687817415379277,-0.6174324017849114,1.9899267784097008,2.0493966854864714,2.606065023337745,2.7168842701675313
-0.6412997760480659,-0.5908931002126829,2.0074536742441307,2.064902256472232,2.6162821637550855,2.72413742181857
-0.6111354560614567,-0.5622514229723168,2.029360458416823,2.0851910925046786,2.62949397409852,2.7342086412755156
-0.5786797246178789,-0.5318408676800441,2.0556272057161546,2.1102144313495166,2.6456537641868865,2.747079846758083
-0.5443807362332725,-0.5000417345175475,2.0862304269453955,2.139900927663097,2.664677556633247,2.762687059066675
-0.5087343076021728,-0.46727320897242014,2.121138182300367,2.174155023196033,2.686441944383189,2.780919883908611
-0.4722705022096735,-0.43398202078396386,2.1603011584391805,2.212851587006685,2.71078354240596,2.8016224523991746
-0.4355368113641866,-0.40062815738306345,2.203640036670166,2.255827106594055,2.7375001820699656,2.8245959059749786
-0.3990788449881309,-0.3676685050495628,2.2510300267373475,2.3028681958818833,2.766353889644334,2.8496023987274355
-0.3634198702535251,-0.33553963237250856,2.302283965977337,2.3536986360368983,2.797075565381904,2.8763704733224817
-0.329040843271951,-0.3046411454279593,2.3571357671404756,2.4079664731080417,2.829371171111804,2.904601574923362
-0.2963626785698153,-0.27532107110269816,2.4152261294209887,2.4652327749041483,2.8629291686704605,2.9339774216207397
-0.2657323363257871,-0.2478645368241133,2.476092241466671,2.5249634613741865,2.897428938685727,2.964167958094917
-0.23741388289440687,-0.22248663348339656,2.5391627118756714,2.5865252038492192,2.9325499354363056,2.994839676820865
-0.21158507070735771,-0.19932984413158464,2.6037582533873573,2.6491858568431197,2.9679813514855895,3.025664181517125
-0.18833931561420786,-0.17846589453114883,2.669097877987288,2.712119445987899,3.0034319718298343,3.0563269609135046
-0.1676923610303439,-0.15990143293725825,2.7343097244493006,2.774415696970696,3.038639481731635,3.0865363823461167
-0.14959251456196096,-0.1435866464868379,2.79844535770745,2.8350949134345065,3.0733773658561856,3.1160327896583677
-0.13393316951070167,-0.1294257963748739,2.860496744485648,2.893131288652522,3.1074551329877367,3.14459705029044
-0.12056636370520873,-0.11728868647281472,2.9194165993158347,2.9474916772524593,3.140703692518754,3.1720564476877726
-0.10931632101537586,-0.10702222461012639,2.974146106522783,2.997200298128733,3.1729344117148033,3.1982826997260037
-0.09999219083026865,-0.09846143753429841,3.023659389917703,3.0414347888542315,3.203865640651436,3.2231717928839365
-0.09239948031173496,-0.09143951119140883,3.067038383519035,3.0796341744898,3.233035567136346,3.2465913272274385
-0.0863499173809741,-0.08579661395179101,3.1035834471798966,3.1115630864388897,3.2597566865491814,3.2682896292373584
-0.08166966670810503,-0.08138740457413808,3.13292949591125,3.137276922877649,3.283166971089376,3.287796660189742
-0.07820594273163022,-0.07808722504986411,3.155092912739525,3.156997081215596,3.302368495353296,3.3043913815111368
-0.07583213066870095,-0.07579703532894044,3.1703914646220115,3.1709668201381382,3.3165829194913194,3.317193370347205
-0.07445155120024202,-0.07444717048674401,3.1792744922735925,3.1793470267841695,3.3252645526779743,3.3253414679020468
-0.07400000000000007,-0.07400000000000007,3.1821614502078113,3.1821614502078113,3.3281614502078107,3.3281614502078107
-0.5982699625886314,-0.5932782099695891,2.5008638613791603,2.5120510547940524,2.9769998252134626,2.9831952660093153
-0.5938553098272651,-0.5838575250800067,2.489037751605805,2.5106708445477675,2.9786242352419,2.9902595434366033
-0.5850818127148507,-0.5700513835655612,2.4741451025293393,2.504904277841959,2.9833592879782533,2.999088034141583
-0.5723032705534291,-0.5522050555033436,2.457233915101486,2.4954582098783655,2.990817410661926,3.0089434903887176
-0.555990470698568,-0.5307862503106842,2.4393783409390557,2.4832755537360183,3.0004774470752724,3.019170439484351
-0.5367099406123086,-0.5063651383993092,2.421586756346446,2.4693636788307294,3.0118343355568444,3.0292664558281297
-0.5150967603182116,-0.47958783331015603,2.4047382118758938,2.454653787486034,3.0245117202571414,3.0389183688592296
-0.49182195513742766,-0.4511436060646418,2.3895331290739086,2.439903686599307,3.038325630212682,3.0480178386652943
-0.4675557260316964,-0.42172687696924654,2.376448437503151,2.4256366609325477,3.0533078143397323,3.0566671887066788
-0.44292870173586846,-0.39199608626698224,2.365694415387896,2.412107006300581,3.0651803758226457,3.069700400378849
-0.4184943262935696,-0.36253270142431687,2.3571773855873763,2.3992888210074743,3.0740782496220334,3.0879284390711885
-0.39469614529511665,-0.3338045503199482,2.350478393460153,2.3868906558507894,3.0840722128639753,3.108551545448508
-0.37184382300928415,-0.30613798238533724,2.344862241205613,2.3744003842039474,3.0960264609911534,3.1321941586167665
-0.35010101932481563,-0.2797027510238962,2.339331574187887,2.361160752926279,3.110888049989655,3.1594571395521815
-0.32948682049038014,-0.25451194999844023,2.332733647926609,2.346467598912798,3.12957954741121,3.1908204669169584
-0.3098905583197567,-0.2304371529235348,2.3239109600248518,2.329673704980238,3.1528632805458714,3.2265539409867046
-0.29109804507060527,-0.20723669162961733,2.310277410350344,2.311865710726413,3.1812052000573674,3.26665485387442
-0.27282594922680387,-0.1845933736852994,2.287979819969061,2.2958951748684076,3.2146776188130826,3.3108255492539307
-0.25476049237583775,-0.1621572440765504,2.262705634247509,2.2756632511662818,3.252931202070135,3.3584920672881955
-0.23659683824275188,-0.13958923947324198,2.2345939075543915,2.251200417182616,3.2952398600759487,3.4088539684736827
-0.21807623696123388,-0.11660246863887017,2.203971032715554,2.2228518159781214,3.340595574588157,3.460950126173091
-0.19901886216044998,-0.09299896345238888,2.171317971115282,2.1912045568443492,3.387819937502739,3.513726421939869
-0.17935105357027725,-0.0687007128153937,2.137239755257587,2.1570194759276644,3.4356659756816974,3.566096037106659
-0.15912617299369813,-0.043774377758919125,2.1024406576487045,2.1211796056167835,3.482897410041393,3.6169881532442503
-0.138538426160824,-0.018449183969968863,2.0677048735072683,2.0846565423334042,3.528343644733842,3.6653845557508324
-0.11792881961947943,0.006872909254829196,2.0338804259050636,2.048489774243725,3.570934503604615,3.7103455808175854
