Lambda1,Lambda2,Lambda3
-0.08488621328096191,1.626628398616084,3.4415907302571904
-0.0739035345614871,1.6110029817622404,3.444958836675834
-0.06710708728213222,1.6013060187632875,3.4470708748143704
-0.06479951887484192,1.598,3.4477995188748425
-0.06712784011641845,1.6013684056713033,3.4470393116042266
-0.074066214423823,1.6114989368163792,3.4447060675598866
-0.0854173044918812,1.6282854112371095,3.4407361749440435
-0.10083174274432136,1.6514478488776725,3.435085838551799
-0.11984103862804166,1.6805660335077781,3.4277302906198335
-0.14189689945643952,1.7151195122053362,3.4186629853603745
-0.16641008321570067,1.7545271432794478,3.407894785496529
-0.1927838449599229,1.7981812513613717,3.395453144206615
-0.22043957055671148,1.8454739835785436,3.381381282797541
-0.2488343311281681,1.895815602074627,3.365737362625176
-0.2774714150220985,1.9486457724755275,3.3485936488927734
-0.30590543901821043,2.00343945293174,3.330035663757156
-0.33374365478666046,2.0597090022627325,3.310161326546816
-0.3606448118867439,2.1170038699884337,3.289080079863336
-0.38631660192710837,2.1749088925891678,3.2669120020697973
-0.4105123927555947,2.2330419016275256,3.243786909578457
-0.4330277079879537,2.29105109084203,3.2198434572680528
-0.4536967220452346,2.3486123955575766,3.1952282539391996
-0.4723889147174944,2.4054269959691985,3.1700950253050655
-0.48900594820899645,2.461218945043382,3.144603886716438
-0.5034787805489216,2.5157328129184937,3.1189208475640635
-0.5157650017170563,2.568731084109493,3.0932177972952912
-0.5258463652172819,2.619990734589047,3.06767351855133
-0.5337264829008301,2.6692976631407666,3.042477020630299
-0.5394286511577461,2.7164355323742835,3.0178366057578687
-0.54299377997762,2.7611586242816566,2.994005034495226
-0.5444784014856695,2.8031105715211533,2.9713589053688687
-0.5439527405780336,2.8415057943600113,2.9507154010364727
-0.5414988367205497,2.8733456783786546,2.935114354531645
-0.5372087125269895,2.8857711820152487,2.937463941666387
-0.5311825911656415,2.8759158390883863,2.960686036006703
-0.5235271707509987,2.8609335114426746,2.9876868789019495
