(-1.256105886826673+0j),(4.127105886826673+0j),(2.9290000000000003+0j)
(-0.8038358455500001-8.367285014494359e-17j),(3.9992745467575763-1.0739405916158584e-16j),(2.058533207803672+1.9106690930652976e-16j)
(-0.42406031523547705+4.509668556639175e-17j),(3.672428863448091+1.131222064825662e-16j),(1.9775757877639701+3.4138146903236277e-16j)
(-0.7855787874828415+4.720926909039111e-17j),(3.997068165380558-4.77629462821715e-16j),(2.15597595530192-1.3669016118739114e-17j)
(-0.8138793333618561+5.531772004128466e-17j),(2.2113100901798557-1.8685311769469484e-16j),(3.7216255342256717-2.0153150973413728e-16j)
(-0.950252271743222+3.4063116811485615e-17j),(3.9530281946280614+3.9535907320743236e-16j),(2.459983162060651-9.635528263137084e-17j)
(-1.2508729982661966-9.671688928370254e-17j),(2.5356120788409138-5.746467004814519e-17j),(3.755065511488653+4.315925686933203e-17j)
(-1.0827979102104368-5.146693819252786e-17j),(3.885093794714335+4.197583169164075e-17j),(2.7199738370487325+9.491106500887057e-18j)
(-1.5215700165472144-1.5232549721807958e-16j),(2.7630776585617176-2.6730446105604184e-16j),(3.761304987139267-5.221482719157367e-17j)
(-1.0562274837481131+1.3746867600002394e-16j),(3.8037528257160194-2.828737364442202e-17j),(2.7874910985406633+1.8410001069137227e-18j)
(-1.5403020387837354-2.8402468077303216e-17j),(3.796019507362272-3.926116852681598e-17j),(2.7591886284762728+6.76636366041191e-17j)
(-0.8513181897685917+1.673308653257009e-17j),(3.7170307464563788+2.213891687637467e-16j),(2.6329346819960273-1.6077650371285784e-17j)
(-0.8756354569438212+1.144233816864493e-16j),(4.074255580291711+7.057940992558816e-17j),(2.2119779856973225-5.180696989995842e-16j)
(4.656963501491794+3.3334878375094496e-17j),(1.0689724507929803-2.2990426845372215e-16j),(-0.737239067274984+1.9656939007862793e-16j)
(-0.7054246940442632-1.4117955958612824e-17j),(3.970836947435594+1.4924107813811246e-16j),(2.125493953760983-2.4100819716983938e-17j)
(4.561503869743955+8.615981165246646e-17j),(-0.7430683407638067+1.8978619788474758e-17j),(1.2087260560582846+5.8838710215743175e-18j)
(-0.5175402778342042-5.356843928344441e-17j),(3.716298501508421-9.544584024741745e-17j),(2.13670579439592+2.0452543076211956e-16j)
(4.347779262553349+6.449011302378677e-17j),(-0.7275169799210313+1.776075006613953e-16j),(1.4767312607488152-2.0053008760150783e-17j)
(-0.3699319224188894+4.761414308757451e-17j),(3.55461237577554+5.237684519748308e-17j),(2.0698211878642585+1.7756476787123138e-16j)
(-0.7777167807395793+8.996134761448997e-17j),(4.083675321693027-4.596494314970922e-17j),(1.8793489436557325-4.399640446478074e-17j)
(3.7403539129104972+6.32166006747407e-17j),(-0.29222734675800077-1.8094132223246456e-17j),(1.7148315519715904+1.7692213647353703e-16j)
(-0.8803558200671988+1.994574880024567e-18j),(3.8792383451102963-6.007954510180199e-18j),(2.2769253438732533+4.0133796301556335e-18j)
(4.104626536050903-5.071093429212896e-17j),(-0.32105071099145716+3.505850411635817e-17j),(1.294149080537599+1.565243017577087e-17j)
(-0.9600370143794896+5.604238542246793e-17j),(3.8809409093809912+3.717614279803692e-16j),(2.4308918226976695+1.6285396447225e-17j)
(4.433080798101118+3.248672156856465e-17j),(1.060319797245214-8.221427302191622e-17j),(-0.4788715027754999-6.129475100916423e-17j)
(-0.952387697787362-2.34581224806631e-16j),(4.023530975606782-9.612486885708704e-17j),(2.3281066031656397-2.3608137238288415e-18j)
(4.624285942063999-1.4118168597242736e-16j),(1.0227552482585291-3.857684360094908e-17j),(-0.662009726213749+1.2424737834211836e-16j)
(-0.8396814365647252-4.049840350144039e-17j),(4.0678264135099615+5.579219736084933e-17j),(2.181269219482921-3.483607012469562e-16j)
(4.647319541919018+1.4304589683137486e-16j),(1.0940297117132833-1.7908227819149314e-17j),(-0.74667438066105+9.690693591280588e-17j)
(-0.6586171022563432-6.488708921433774e-17j),(3.9175186571013105-1.213561834536001e-17j),(2.1215116068041016+4.656007661785024e-16j)
(-1.6447101462626859+1.595643225628372e-16j),(3.934304674444093-1.6781727284342552e-16j),(2.742170890713226+9.151967712747473e-17j)
(-1.1016202428055877-1.0681523900402573e-16j),(3.9634469078217047-1.2985616546880251e-16j),(2.7983911688388394-4.294624103022653e-16j)
(-1.5730236907938406-9.654619520968037e-19j),(3.8655501899657096-1.203623201466705e-16j),(2.7685714331044173+1.0305479636251507e-17j)
(-0.8642528302832733+7.47772727611007e-17j),(3.872950705158544+2.9341502507756974e-17j),(2.5942240037973083+6.903527193658086e-18j)
(-1.2807876234304125+1.0494959657817953e-16j),(3.8059667512670297-5.737019337008222e-18j),(2.6185039585810004-4.370142600991317e-17j)
(-0.5550427684567418-1.3112822323864261e-17j),(3.7871793993645166-4.6938411358579377e-17j),(2.266765490623268+4.5400824511858105e-18j)
(-0.921571022175415+5.843981045916353e-17j),(3.8209857272778733-2.0803757163732986e-16j),(2.364867702561863+3.857545871565056e-17j)
(-0.4350766116571375+8.313844943715567e-18j),(3.7508065273783746+3.1435991523689904e-17j),(2.0516221972353637+3.765837977670282e-16j)
(-0.7370689369739745-9.706222244075589e-18j),(3.879566730489444+2.2091606690405362e-16j),(2.258145318708797+2.328793651900847e-16j)
(-0.7020673679951963-1.389551285429694e-17j),(3.780717909755077+2.3523983959827623e-17j),(2.153894697377593-3.982065297243355e-16j)
(-0.8416179120128577-3.1934324946422545e-17j),(3.944134089905057+2.4209627229856763e-16j),(2.4250879744900145-2.1016194735214478e-16j)
(-1.1563159200214228-1.4459653781440855e-17j),(3.862267992547018-9.27527692206727e-18j),(2.4134037650300573+2.3734930703508142e-17j)
(-1.0526396403475395+4.727935969226407e-17j),(3.992732661810939-5.3886259959957976e-17j),(2.6816458692156795+6.606900267693856e-18j)
(-1.5207680538770199-4.5413137478106136e-17j),(3.9331329097444847-1.3130853906966668e-16j),(2.6363045702298633+1.0188222853999296e-17j)
(-1.1559237776861537-6.850652434012473e-17j),(4.000174814067557+1.752038522620217e-16j),(2.8214267072483006+4.324974540618724e-18j)
(-1.651725854636471-5.554682816210136e-17j),(3.923051754004984-6.917094357433885e-17j),(2.762203043073578+1.36954692739246e-17j)
(-1.0591010534014884-1.3445340700600191e-16j),(3.94431982272687-2.053905497011645e-16j),(2.766094418709763+4.508662591696818e-16j)
