lambda1,lambda2,lambda3
-0.3321494660741938,2.538402032538318,3.601122328699689
-0.335271086933302,2.5367838818652233,3.6059168752644304
-0.33860930980776527,2.5350614520004218,3.611036937339014
-0.34214962856644016,2.533243479986157,3.6164592125295325
-0.345876752068359,2.5313389471501915,3.622159364586193
-0.3497746858499112,2.5293570086014,3.6281121756584898
-0.3538268159176345,2.52730692797291,3.6342916954129127
-0.35801599400932826,2.5251980180793225,3.6406713857093065
-0.3623246237092915,2.523039587914555,3.647224259795092
-0.36673474683295837,2.5208408961960673,3.6539230152267654
-0.3712281295310882,2.518611111465656,3.6607401599585536
-0.37578634760265756,2.5163592785902553,3.6676481312438765
-0.38039087054772275,2.51409429136959,3.674619407173946
-0.38502314393562864,2.5118248708509787,3.681626610828461
-0.3896646697090252,2.5095595488734928,3.6886426071365843
-0.39429708408934133,2.5073066563113446,3.695640592643885
-0.39890223279385406,2.505074315456849,3.702594178454875
-0.4034622433174425,2.5028704359729472,3.709477466674226
-0.40795959407322563,2.500702713850713,3.7162651207052426
-0.41237718022472053,2.498578632825004,3.722932429785033
-0.4166983760779573,2.4965054677283733,3.7294553681444915
-0.42090709393451553,2.4944902892968788,3.735810649180383
-0.4249878393358947,2.492539969978809,3.7419757750187377
-0.4289257626556512,2.490661190336948,3.7479290818352973
-0.4327067070185907,2.488860445674914,3.753649781281553
-0.4363172525457751,2.48714405255725,3.75911799834541
-0.4397447569406282,2.485518154930279,3.764314805954569
-0.442977392444935,2.4839887295855654,3.7692222566094484
-0.4460041792043651,2.4825615907398526,3.773823411311245
-0.448815015091403,2.4812423935341794,3.7781023660302484
-0.4514007020396792,2.480036636280401,3.782044275939909
-0.45375296894768213,2.478949661305929,3.78563537762382
-0.4558644912121689,2.4779866542666844,3.7888630094456626
-0.4577289069523156,2.4771526418149232,3.7917156302564394
-0.4593408299851951,2.4764524875223524,3.7941828365989565
-0.46069585961173587,2.4758908859707036,3.7962553785564386
-0.4617905872699546,2.4754723549313034,3.7979251743803126
-0.46262260010951906,2.4752012255633042,3.7991853240214906
-0.46319048153849546,2.475081630566563,3.8000301216797494
-0.463493808789775,2.4751174902309048,3.8004550674769364
-0.4635331475514522,2.4753124963282196,3.8004568783515453
-0.46331004370229856,2.4756700937986134,3.8000334982645407
-0.46282701219074457,2.4761934601862925,3.7991841077989195
-0.46208752309362544,2.4768854827861224,3.7979091332282295
-0.4610959848893266,2.4777487334675836,3.796210255121758
-0.45985772497919936,2.478785441150096,3.7940904165461875
-0.4583789674911729,2.479997461912406,3.7915538309147174
