Alpha,Energy
0.14,-0.6211467253543409
0.14,-0.6066956460251739
0.14,-0.5935256768022359
0.14,-0.5840717435858424
0.14,-0.5718564761894956
0.14,-0.5538830582292122
0.14,-0.42855943907425764
0.14,-0.42525211041438926
0.14,-0.4151856357477869
0.14,-0.41512475070391125
0.14,-0.40297066326619624
0.14,-0.4028445980163034
0.14,-0.319082217282495
0.14,0.9419072017752181
0.14,0.9423702007173933
0.14,0.9447101497964397
0.14,0.9466881664895063
0.14,0.9488770548020123
0.14,0.9512642110494729
0.14,1.0514170742764721
0.14,1.5014832946096917
0.14,1.585728999185453
0.14,1.5966552087505743
0.14,1.6067176979366224
0.14,1.6132502875213144
0.14,1.6272355139405748
0.14,1.6299568536953692
0.14,1.7017073628065156
0.14,1.725061930798328
0.14,1.734120995213044
0.14,1.7423347631646815
0.14,1.7509766081442792
0.14,1.755619974230262
0.14,1.7718495545041577
0.14,1.7802934387383762
0.14,1.85634291902315
0.14,1.8660817088248185
0.14,1.8777351135473532
0.14,1.8827164315571185
0.14,1.8885745750675533
0.14,1.8919451239004925
0.14,1.9016465179540858
0.14,1.903658007448832
0.14,1.9126720233944332
0.14,1.9177105979327917
0.14,1.919418444213544
0.14,1.9409781743202772
0.14,1.9477630361539096
0.14,1.9657409652429134
0.14,2.080662027421468
0.14,2.091031547280186
0.14,2.095329279501846
0.14,2.105785041869717
0.14,2.106576092492706
0.14,2.1140707323538663
0.14,2.1175791224825335
0.14,2.1235783460175712
0.14,2.1298129148052745
0.14,2.132205346849943
0.14,2.137858388025205
0.14,2.1386494554241677
0.14,2.14438887758299
0.14,2.1457650850416092
0.14,4.079158487663777
0.14,4.0791584882716165
0.14,4.079483220986619
0.14,4.079483223421714
0.14,4.079740522033298
0.14,4.07974937155211
0.14,4.106417600260463
0.14,4.22103218839242
0.14,4.275428997296406
0.14,4.275429049949217
0.14,4.276853872875586
0.14,4.276853915907686
0.14,4.278059091209511
0.14,4.278124494949453
0.14,4.313895102762888
0.14,4.346667706730247
0.14,4.346667744037093
0.14,4.349995160577085
0.14,4.3499951632542535
0.14,4.355476158447286
0.14,4.355552205792735
0.14,4.38020996109622
0.14,4.380472522361733
0.14,4.400090715608582
0.14,4.400090717008646
0.14,4.430288053715365
0.14,4.430288055767351
0.14,4.467426430944445
0.14,4.468513893173737
0.14,4.514213235445043
0.14,4.514214073560857
0.14,4.564300484481152
0.14,4.564300484481162
0.14,4.616399983457568
0.14,4.616400224135147
0.14,4.6564986074563155
0.14,4.686711370186688
0.14,4.723282077113675
0.14,4.723282087035757
0.14,4.763528694013789
0.14,4.763528694024525
0.14,4.788633715505888
0.14,4.78865750098075
0.14,4.930911116237179
0.14,4.930919601365482
0.14,4.939720688582381
0.14,4.939720688584169
0.14,4.948727924349
0.14,4.948727931784386
0.14,4.952256704342355
0.18,-1.6072007832832478
0.18,-1.60684475414587
0.18,-1.606135182204017
0.18,-1.6060248320783947
0.18,-1.6033402674740724
0.18,-1.6024370962696002
0.18,-1.601691284827524
0.18,-1.6015334483300485
0.18,-1.6009464151331096
0.18,-1.3790828750923003
0.18,-1.3737718510751726
0.18,-1.373768432121154
0.18,-1.3588249712887828
0.18,-1.3551585916563125
0.18,-1.3391030242969786
0.18,-1.33896407950531
0.18,-1.324703505560116
0.18,-1.3244607938966866
