Alpha,Energy,p/151
0.013245033112582781,0.2606414887467669,2/151
0.013245033112582781,0.26065267586594354,2/151
0.013245033112582781,0.30526394187538264,2/151
0.013245033112582781,0.30526770125306746,2/151
0.013245033112582781,0.3487463050051726,2/151
0.013245033112582781,0.3487546101767236,2/151
0.013245033112582781,0.3911278596800368,2/151
0.013245033112582781,0.39113190918081187,2/151
0.013245033112582781,0.43241165715239266,2/151
0.013245033112582781,0.4324178740999205,2/151
0.013245033112582781,0.47262629032208175,2/151
0.013245033112582781,0.4726305513978123,2/151
0.013245033112582781,0.5117831444528677,2/151
0.013245033112582781,0.5117877594005854,2/151
0.013245033112582781,0.5499026780746216,2/151
0.013245033112582781,0.5499070894129346,2/151
0.013245033112582781,0.5870025656534833,2/151
0.013245033112582781,0.587005906704349,2/151
0.013245033112582781,0.623096839495101,2/151
0.013245033112582781,0.6231013513498763,2/151
0.013245033112582781,0.6582080351671586,2/151
0.013245033112582781,0.6582103389077786,2/151
0.013245033112582781,0.6923449900012943,2/151
0.013245033112582781,0.6923495609134941,2/151
0.013245033112582781,0.7255340397050865,2/151
0.013245033112582781,0.725535485165979,2/151
0.013245033112582781,0.7577797610440299,2/151
0.013245033112582781,0.7577843557784872,2/151
0.013245033112582781,0.7891114652437932,2/151
0.013245033112582781,0.7891121929610413,2/151
0.013245033112582781,0.8195302043340575,2/151
0.013245033112582781,0.8195347924961425,2/151
0.013245033112582781,0.8490676013398034,2/151
0.013245033112582781,0.8490677248623544,2/151
0.013245033112582781,0.8777217788920229,2/151
0.013245033112582781,0.8777263339520571,2/151
0.013245033112582781,0.9055257353195401,2/151
0.013245033112582781,0.9055261220707254,2/151
0.013245033112582781,0.9324763153078615,2/151
0.013245033112582781,0.932480813883251,2/151
0.013245033112582781,0.9586062209908344,2/151
0.013245033112582781,0.9586070387875089,2/151
0.013245033112582781,0.9839119494302154,2/151
0.013245033112582781,0.9839163707368266,2/151
0.013245033112582781,1.008425435399674,2/151
0.013245033112582781,1.0084266162587505,2/151
0.013245033112582781,1.0321430144183288,2/151
0.013245033112582781,1.0321473398355039,2/151
0.013245033112582781,1.0550957546294841,2/151
0.013245033112582781,1.0550972393143272,2/151
0.013245033112582781,1.0772798750469366,2/151
0.013245033112582781,1.0772840877589218,2/151
0.013245033112582781,1.0987254744626116,2/151
0.013245033112582781,1.09872721060657,2/151
0.013245033112582781,1.1194286802469853,2/151
0.013245033112582781,1.1194327649336075,2/151
0.013245033112582781,1.1394185093523084,2/151
0.013245033112582781,1.1394204499960978,2/151
0.013245033112582781,1.158690997087671,2/151
0.013245033112582781,1.1586949396412136,2/151
0.013245033112582781,1.177273947155383,2/151
0.013245033112582781,1.1772760495542918,2/151
0.013245033112582781,1.1951632679996418,2/151
0.013245033112582781,1.195167055232185,2/151
0.013245033112582781,1.2123853854089586,2/151
0.013245033112582781,1.2123876099493125,2/151
0.013245033112582781,1.228935995632261,2/151
0.013245033112582781,1.2289396147266467,2/151
0.013245033112582781,1.2448399246573185,2/151
0.013245033112582781,1.2448422329824687,2/151
0.013245033112582781,1.260092491574482,2/151
0.013245033112582781,1.260095926381322,2/151
0.013245033112582781,1.2747166016000275,2/151
0.013245033112582781,1.2747189442462152,2/151
0.013245033112582781,1.2887068997402755,2/151
0.013245033112582781,1.288710094074785,2/151
0.013245033112582781,1.3020838738053813,2/151
0.013245033112582781,1.3020860904314453,2/151
0.013245033112582781,1.3148409601224709,2/151
0.013245033112582781,1.3148435832664032,2/151
0.013245033112582781,1.3269949217459058,2/151
0.013245033112582781,1.326997177232285,2/151
0.013245033112582781,1.3385354482590972,2/151
0.013245033112582781,1.3385417398978938,2/151
0.013245033112582781,1.3494713843598773,2/151
0.013245033112582781,1.349490247080095,2/151
0.013245033112582781,1.3597851535915113,2/151
0.013245033112582781,1.3598342130115801,2/151
0.013245033112582781,1.3694672556017096,2/151
0.013245033112582781,1.369586193366946,2/151
0.013245033112582781,1.3784694277495535,2/151
0.013245033112582781,1.3787437816264332,2/151
0.013245033112582781,1.3867466419079966,2/151
0.013245033112582781,1.3873102572879592,2/151
0.013245033112582781,1.3941647016905816,2/151
0.013245033112582781,1.3953346035461922,2/151
0.013245033112582781,1.400817496554953,2/151
0.013245033112582781,1.402575168255109,2/151
0.013245033112582781,1.4062928666254615,2/151
0.013245033112582781,1.409860744492427,2/151
0.013245033112582781,1.4120933141969374,2/151
0.013245033112582781,1.4148161203382774,2/151
0.013245033112582781,1.4158814804190523,2/151
0.013245033112582781,1.4235435922700088,2/151
0.013245033112582781,1.423870918364289,2/151
0.013245033112582781,1.4257683449216016,2/151
0.013245033112582781,1.4259622856140968,2/151
0.013245033112582781,1.438254193094255,2/151
0.013245033112582781,1.4382701301817693,2/151
0.013245033112582781,1.4388980371407347,2/151
0.013245033112582781,1.4389249208803758,2/151
0.013245033112582781,1.4546200178395834,2/151
0.013245033112582781,1.454630499108823,2/151
0.013245033112582781,1.4547504814644323,2/151
0.013245033112582781,1.4547646110012413,2/151
0.013245033112582781,1.4726638198011173,2/151
0.013245033112582781,1.4726658092356557,2/151
0.013245033112582781,1.4726836575851068,2/151
0.013245033112582781,1.4726920917398711,2/151
0.013245033112582781,1.4922953154614804,2/151
0.013245033112582781,1.4923005326620356,2/151
0.013245033112582781,1.492301781591489,2/151
0.013245033112582781,1.4923283491194328,2/151
0.013245033112582781,1.5134311932824132,2/151
0.013245033112582781,1.513431818946861,2/151
0.013245033112582781,1.5134319339207487,2/151
0.013245033112582781,1.5134388781763564,2/151
0.013245033112582781,1.535970073691794,2/151
0.013245033112582781,1.535980524305009,2/151
0.013245033112582781,1.5359805305884868,2/151
0.013245033112582781,1.5360188815430587,2/151
0.013245033112582781,1.5598880883473956,2/151
0.013245033112582781,1.5598885966142915,2/151
0.013245033112582781,1.5598885968470868,2/151
0.013245033112582781,1.559892904904223,2/151
0.013245033112582781,1.5850883093925712,2/151
0.013245033112582781,1.5851147560096333,2/151
0.013245033112582781,1.58511475601373,2/151
0.013245033112582781,1.5851969833864221,2/151
0.019867549668874173,-0.01892481389730638,3/151
0.019867549668874173,-0.01892481389730582,3/151
0.019867549668874173,0.017936559750987686,3/151
0.019867549668874173,0.05782590935628099,3/151
0.019867549668874173,0.057825909356281735,3/151
0.019867549668874173,0.06249805061606458,3/151
0.019867549668874173,0.1318108544270651,3/151
0.019867549668874173,0.13181085442706522,3/151
0.019867549668874173,0.14670437697254943,3/151
0.019867549668874173,0.2030964541766649,3/151
0.019867549668874173,0.2030964541766671,3/151
0.019867549668874173,0.2093871847827566,3/151
0.019867549668874173,0.27174793493674143,3/151
0.019867549668874173,0.2717479349367436,3/151
0.019867549668874173,0.2737158231641609,3/151
0.019867549668874173,0.33782932938376475,3/151
0.019867549668874173,0.3378293293837654,3/151
0.019867549668874173,0.34481224379417696,3/151
0.019867549668874173,0.3950724646699094,3/151
0.019867549668874173,0.4014034885900278,3/151
