    p     	    q     	        p/q         	         y          	eigenvalue
    2     	    5     	         2/5         	        0.4         	[0.5411734369 0.8215825386 1.1988390524 1.2764101781 1.391994794 ]
    2     	    7     	         2/7         	 0.2857142857142857 	[0.5342571197 0.6582644852 1.024612933  1.1474473473 1.1683912695 1.3510263073 1.438000538 ]
    2     	    9     	         2/9         	 0.2222222222222222 	[0.5191360812 0.5800784221 0.9229508955 0.9960800052 1.0415208603 1.2299912726 1.3321827354 1.370928536  1.4211311917]
    2     	    11    	         2/11        	0.18181818181818182 	[0.5002900397 0.5360963496 0.8401538843 0.8888858275 0.9774660618 1.1117409904 1.2263979865 1.2671908346 1.3216477263 1.3942438172 1.4418864821]
    2     	    13    	         2/13        	0.15384615384615385 	[0.4805430285 0.5091116746 0.7785017381 0.810763154  0.9275326953 1.0216629224 1.1478465889 1.1734300191 1.2158571097 1.3138696871 1.3841749955 1.403193574  1.4315128126]
    2     	    15    	         2/15        	0.13333333333333333 	[0.4621659821 0.4908920821 0.7302694413 0.7524763337 0.8835474264 0.9495326104 1.0799453249 1.1095044402 1.1304252981 1.2329803302 1.3065059155 1.3336871209 1.3725321203 1.4128323982 1.4427031757]
    2     	    17    	         2/17        	0.11764705882352941 	[0.4465777792 0.4768430231 0.69066451   0.7076386321 0.8440165778 0.8907140929 1.0226298791 1.0595227591 1.0638253456 1.1648125277 1.2389617446 1.2597005685 1.2997630814 1.3561532765 1.4066872997 1.4170853824 1.4364035203]
    2     	    19    	         2/19        	0.10526315789473684 	[0.4336707494 0.4651897715 0.6574899128 0.6717118964 0.808555732  0.8421854787 0.9744663757 1.0006508522 1.0275632625 1.107279713  1.1797865214 1.1950692376 1.2328237379 1.2974146104 1.3492328203 1.3679493036 1.3977778294 1.4220242923 1.4431579031]
    2     	    21    	         2/21        	0.09523809523809523 	[0.4229309892 0.4552243188 0.629397407  0.6419718205 0.7768312145 0.8015540704 0.9327232021 0.951317114  0.9965506492 1.0572026699 1.1300811057 1.1427078987 1.1728823371 1.2396935864 1.2968086884 1.3135209895 1.3430350368 1.379417741  1.4183810709 1.4244716849 1.4392964051]
    2     	    23    	         2/23        	0.08695652173913043 	[0.4138877784 0.4465689959 0.605385392  0.6167872693 0.7484711797 0.7669796899 0.8958744482 0.909395662  0.9676002654 1.013251446  1.0878307394 1.1020472329 1.1206074046 1.1884877371 1.2443527017 1.2592843018 1.2907935833 1.3367357339 1.3732078714 1.3868877682 1.4124908433 1.4273932109 1.4436787447]
    2     	    25    	         2/25        	        0.08        	[0.4061780646 0.4389722205 0.5846695305 0.5951244535 0.7230977334 0.7371150216 0.8628612566 0.873219632  0.9395071219 0.9743109173 1.051010328  1.0706821079 1.0756016274 1.1436972027 1.197410168  1.2094133681 1.240095562  1.2894385809 1.3336323546 1.346604593  1.3682566843 1.3932930654 1.4253905412 1.4290348842 1.4413829801]
    2     	    27    	         2/27        	0.07407407407407407 	[0.3995301836 0.4322476793 0.5666353999 0.5762763101 0.700356988  0.7109862788 0.8329687107 0.8415612643 0.9122972237 0.9395667447 1.0181650131 1.0363596102 1.0456242667 1.1047298993 1.1566415523 1.1656289419 1.193556181  1.2441882059 1.2896151517 1.3027684561 1.3274190075 1.3616184199 1.3877487219 1.3983470486 1.4218493937 1.4309644357 1.4443489115]
    2     	    29    	         2/29        	0.06896551724137931 	[0.3937400058 0.4262510747 0.5508035418 0.5597268599 0.679924335  0.6878868855 0.8057794217 0.813469782  0.8863238629 0.9083905572 0.9883464701 1.0018328138 1.0237821269 1.0703203605 1.1215617516 1.1286265897 1.1519373484 1.2026194494 1.2477091395 1.259398993  1.2849342332 1.3233129991 1.3577772734 1.3679101683 1.3840625051 1.4022350817 1.4300255168 1.4321954223 1.4431154306]
    2     	    31    	         2/31        	0.06451612903225806 	[0.388652073  0.4208682241 0.5367985865 0.5450830167 0.6615058913 0.667294645  0.7810201697 0.7882388776 0.861832004  0.8802422055 0.960923102  0.9709618836 1.0031772055 1.0393020407 1.0909454416 1.0985221928 1.1151186126 1.1653464858 1.2090523676 1.2189339255 1.2441543426 1.2843241154 1.3211968862 1.3325671076 1.3519216671 1.3781091437 1.3971905077 1.4058332439 1.4281206767 1.4335894837 1.4451738744]
    2     	    33    	         2/33        	0.06060606060606061 	[0.3841461772 0.4160075438 0.5243242256 0.5320371745 0.6448410745 0.6488123904 0.7584509739 0.7653736228 0.8389134063 0.8546548975 0.9354356564 0.9430793466 0.9826848891 1.0109050817 1.0637128216 1.0744376436 1.0825104846 1.1323543588 1.1743203751 1.1820738749 1.2061370348 1.2470740877 1.2849258862 1.2954135942 1.3163242054 1.3470318684 1.3742712135 1.3822808871 1.3945147785 1.4083806499 1.433317222  1.4345869997 1.4446655536]
