Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6,Lambda7,Lambda8,Lambda9
-0.6941461357398266,-0.6941461357398249,2.7388755122277,2.7388755122277013,3.597270623512126,3.597270623512128,-0.6941461357398266,-0.6941461357398249,2.7388755122277
-0.6955406398987795,-0.6955406398987782,2.74136195741087,2.7413619574108723,3.5961786824879067,3.5961786824879067,-0.6955406398987795,-0.6955406398987782,2.74136195741087
-0.6964822246720705,-0.6964822246720703,2.7430446150773045,2.743044615077306,3.5954376095947636,3.5954376095947644,-0.6964822246720705,-0.6964822246720703,2.7430446150773045
-0.6969566094384012,-0.6969566094384008,2.743893528421834,2.743893528421837,3.595063081016563,3.5950630810165642,-0.6969566094384012,-0.6969566094384008,2.743893528421834
-0.6969566094384014,-0.6969566094383995,2.743893528421834,2.7438935284218373,3.595063081016562,3.5950630810165642,-0.6969566094384014,-0.6969566094383995,2.743893528421834
-0.6964822246720718,-0.696482224672071,2.7430446150773053,2.7430446150773053,3.595437609594765,3.595437609594766,-0.6964822246720718,-0.696482224672071,2.7430446150773053
-0.6955406398987795,-0.6955406398987787,2.741361957410872,2.741361957410872,3.5961786824879063,3.5961786824879067,-0.6955406398987795,-0.6955406398987787,2.741361957410872
-0.6941461357398256,-0.6941461357398246,2.738875512227697,2.7388755122277,3.5972706235121255,3.5972706235121263,-0.6941461357398256,-0.6941461357398246,2.738875512227697
-0.6923199108717624,-0.6923199108717619,2.735629283964793,2.7356292839647933,3.598690626906965,3.5986906269069685,-0.6923199108717624,-0.6923199108717619,2.735629283964793
-0.6900898153456182,-0.6900898153456176,2.731680267304646,2.7316802673046485,3.600409548040969,3.60040954804097,-0.6900898153456182,-0.6900898153456176,2.731680267304646
-0.6874899952308966,-0.6874899952308952,2.727097128240353,2.727097128240354,3.602392866990542,3.6023928669905425,-0.6874899952308966,-0.6874899952308952,2.727097128240353
-0.6845604491192364,-0.6845604491192356,2.72195868669112,2.7219586866911216,3.604601762428114,3.604601762428115,-0.6845604491192364,-0.6845604491192356,2.72195868669112
-0.6813464975826784,-0.6813464975826778,2.716352264539187,2.7163522645391875,3.6069942330434914,3.606994233043495,-0.6813464975826784,-0.6813464975826778,2.716352264539187
-0.6778981675108046,-0.6778981675108028,2.7103719581192403,2.710371958119241,3.6095262093915617,3.609526209391562,-0.6778981675108046,-0.6778981675108028,2.7103719581192403
-0.6742694943844345,-0.6742694943844337,2.7041168854599262,2.7041168854599262,3.612152608924506,3.6121526089245064,-0.6742694943844345,-0.6742694943844337,2.7041168854599262
-0.6705177470021078,-0.6705177470021059,2.6976894479163596,2.6976894479163605,3.6148282990857465,3.6148282990857465,-0.6705177470021078,-0.6705177470021059,2.6976894479163596
-0.6667025809603309,-0.666702580960329,2.69119363505112,2.6911936350511203,3.617508945909211,3.6175089459092113,-0.6667025809603309,-0.666702580960329,2.69119363505112
